State,Region,Last Update,Confirmed,Deaths,Recovered
Italy,Abruzzo,2020-02-29T20:00:00,2,0,0
Italy,Basilicata,2020-02-29T20:00:00,0,0,0
Italy,Calabria,2020-02-29T20:00:00,1,0,0
Italy,Campania,2020-02-29T20:00:00,13,0,0
Italy,Emilia-Romagna,2020-02-29T20:00:00,213,4,0
Italy,Friuli Venezia Giulia,2020-02-29T20:00:00,0,0,0
Italy,Lazio,2020-02-29T20:00:00,3,0,3
Italy,Liguria,2020-02-29T20:00:00,19,0,0
Italy,Lombardia,2020-02-29T20:00:00,552,23,40
Italy,Marche,2020-02-29T20:00:00,38,0,4
Italy,Molise,2020-02-29T20:00:00,0,0,0
Italy,Piemonte,2020-02-29T20:00:00,11,0,4
Italy,Puglia,2020-02-29T20:00:00,3,0,0
Italy,Sardegna,2020-02-29T20:00:00,0,0,0
Italy,Sicilia,2020-02-29T20:00:00,2,0,2
Italy,Toscana,2020-02-29T20:00:00,10,0,1
Italy,Trentino-Alto Adige,2020-02-29T20:00:00,1,0,0
Italy,Umbria,2020-02-29T20:00:00,0,0,0
Italy,Valle d'Aosta,2020-02-29T20:00:00,0,0,0
Italy,Veneto,2020-02-29T20:00:00,189,2,0
