State,Region,Last Update,Confirmed,Deaths,Recovered
Italy,Abruzzo,2020-02-27T21:15:00,1,0,0
Italy,Basilicata,2020-02-27T21:15:00,0,0,0
Italy,Calabria,2020-02-27T21:15:00,0,0,0
Italy,Campania,2020-02-27T21:15:00,2,0,0
Italy,Emilia-Romagna,2020-02-27T21:15:00,97,1,0
Italy,Friuli Venezia Giulia,2020-02-27T21:15:00,0,0,0
Italy,Lazio,2020-02-27T21:15:00,3,0,3
Italy,Liguria,2020-02-27T21:15:00,11,0,0
Italy,Lombardia,2020-02-27T21:15:00,403,14,40
Italy,Marche,2020-02-27T21:15:00,6,0,0
Italy,Molise,2020-02-27T21:15:00,0,0,0
Italy,Piemonte,2020-02-27T21:15:00,2,0,2
Italy,Puglia,2020-02-27T21:15:00,1,0,0
Italy,Sardegna,2020-02-27T21:15:00,0,0,0
Italy,Sicilia,2020-02-27T21:15:00,3,0,2
Italy,Toscana,2020-02-27T21:15:00,2,0,0
Italy,Trentino-Alto Adige,2020-02-27T21:15:00,1,0,0
Italy,Umbria,2020-02-27T21:15:00,0,0,0
Italy,Valle d'Aosta,2020-02-27T21:15:00,0,0,0
Italy,Veneto,2020-02-27T21:15:00,116,2,2
