State,Region,Last Update,Confirmed,Deaths,Recovered
Italy,Abruzzo,2020-03-02T21:26:00,5,0,0
Italy,Basilicata,2020-03-02T21:26:00,0,0,0
Italy,Calabria,2020-03-02T21:26:00,1,0,0
Italy,Campania,2020-03-02T21:26:00,17,0,0
Italy,Emilia-Romagna,2020-03-02T21:26:00,324,11,0
Italy,Friuli Venezia Giulia,2020-03-02T21:26:00,9,0,0
Italy,Lazio,2020-03-02T21:26:00,4,0,3
Italy,Liguria,2020-03-02T21:26:00,18,0,4
Italy,Lombardia,2020-03-02T21:26:00,1077,38,139
Italy,Marche,2020-03-02T21:26:00,34,1,0
Italy,Molise,2020-03-02T21:26:00,0,0,0
Italy,Piemonte,2020-03-02T21:26:00,51,0,0
Italy,Puglia,2020-03-02T21:26:00,4,0,0
Italy,Sardegna,2020-03-02T21:26:00,1,0,0
Italy,Sicilia,2020-03-02T21:26:00,5,0,2
Italy,Toscana,2020-03-02T21:26:00,12,0,1
Italy,Trentino-Alto Adige,2020-03-02T21:26:00,1,0,0
Italy,Umbria,2020-03-02T21:26:00,2,0,0
Italy,Valle d'Aosta,2020-03-02T21:26:00,0,0,0
Italy,Veneto,2020-03-02T21:26:00,271,2,0
